#2144,#21331,194,"Geological engineers","Geological engineers","Hydrogeology engineer",https://youtu.be/0euKFwZLAhw,Vancouver,Mainland/Southwest,"As a hydrogeological engineer, Emily’s goal is to prevent water contamination by studying ground water problems and designing solutions. As part of her work, she spends time in the field collecting data and inspecting damage to ground water systems such as wells. Emily is passionate about environmental and social issues and finds her career is the perfect blend of addressing both."
#3215,#32121,193,"Medical radiation technologists","Medical radiation technologists","Radiation therapist",https://youtu.be/OXS0lSll2nI,"Prince George",Cariboo,"Kaitlyn, a radiation therapist, plans and delivers radiation treatments to cancer patients. She counsels patients on side effects and supports them through their treatment process. Kaitlyn finds getting to know each patient, supporting them through treatment and celebrating their milestones the most rewarding aspects of her job."
#2171,#21221,192,"Information Systems Analysts and Consultants","Business systems specialist","Business data analyst",https://youtu.be/zKr1YIi5f6A,"Prince George",Cariboo,"Ruby, a member of the Wet'suwet'en Nation, is a business data analyst for Northern Health in the Lheidli T'enneh territory. She uses her math and problem-solving skills to tell a story with data. Ruby finds her work meaningful because she can use data to make a positive impact in her community. She encourages Indigenous people to pursue a career in data analytics so they can have a say in how data is collected, used and seen."
#4031,#41220,191,"Secondary school teachers","Secondary school teacher","Secondary school art teacher",https://youtu.be/oUyNDMdus5U,Smithers,"North Coast & Nechako","Perry helps students succeed academically and personally through his work as a secondary school art teacher. He cultivates hands-on creative experiences for his students in his classroom that he operates like an open studio. Perry expresses how much teachers, including himself, care about their students and want to make school a positive environment for them to learn, grow and prepare for their future."
#2173,#21211,190,"Software engineers and designers","Data scientists","Machine learning engineer",https://youtu.be/2BackbDu2aY,Vancouver,Mainland/Southwest,"Suro, a machine learning engineer, spends his days building credit models and doing credit risk assessments for small businesses. Through his work, Suro helps small businesses receive the funding they need to stay competitive and grow. He says people entering this career should commit to life-long learning and absorbing knowledge from others in the industry."
#2241,#22310,189,"Electrical and electronic engineering technologists and technicians","Electrical and electronic engineering technologists and technicians","Marine technician and remotely operated vehicle (ROV) pilot",https://youtu.be/e5CBflHUPDs,"Prince Rupert","North Coast & Nechako","Hamza, a marine technician and remote vehicle pilot, uses his math skills, curiosity and patience to maintain the fleet of tugboats at SAAM Towage in Prince Rupert. He uses tools such as remotely operated vehicles for underwater inspections, ensuring that the boats are in safe working condition. "
#3219,#33103,188,"Other medical technologists and technicians (except dental health)","Pharmacy technical assistants and pharmacy assistants","Pharmacy assistant",https://youtu.be/t9Ir5Mb-HwY,Terrace,"North Coast & Nechako","As a pharmacy assistant, Tish works in a retail environment and prepares prescriptions for patients, ensuring they receive the correct medications and dosages. Tish also recommends over-the-counter medications to those who come into the pharmacy seeking advice. Tish enjoys working in a team where everyone’s roles and responsibilities complement one another to achieve the same goal of helping people feel better."
#7294,#73112,187,"Painter and decorators (except interior decorators)","Painter and decorators (except interior decorators)",Painter,https://youtu.be/dJBJZVyMnVQ,"Dawson Creek",Northeast,"Karla runs her own painting business and uses her skills to help people feel happier in their workplace or home. She pays careful attention to detail, ensuring her customers get a high-quality result. Karla’s favourite part of her job is meeting people and getting to brighten their day by going above and beyond their expectations. "
#2121,#21110,186,"Biologists and related scientists","Biologists and related scientists","Marine ecosystems biologist",https://youtu.be/Y-5nEOk69lY,"Prince George",Cariboo,"Aaron’s work as an aquatic ecosystems biologist involves field work like collecting and observing environmental samples and in-office work such as data analysis and report writing. A career as a biologist is a great choice for those that love being outdoors, are passionate about the environment and don’t mind getting their hands dirty."
#2171,#21220,185,"
Information systems analysts and consultants","Cybersecurity specialists","Cybersecurity analyst",https://youtu.be/aAVrYtZyo50,"Prince George",Cariboo,"As a cybersecurity analyst for the College of New Caledonia, Hawkeye monitors, prevents and responds to cyberattacks, ensuring the safety of data and systems. His work involves investigation and problem solving, which make Hawkeye feel like a detective. He also regularly researches to stay up to date on evolving cyber threats. His job isn’t always easy, but he enjoys solving problems and having positive interactions with the people he is helping and his colleagues in the field."
#6513,#65200,43,"Food and Beverage Servers","Food and beverage servers","Food and beverage server",https://youtu.be/ahlciXcDh2A,Victoria,"Vancouver Island/Coast","A server shows Viviana how she establishes a relationship with the customer, takes an order, serves the food efficiently, and cashes out at the end of the day. She explains how she organizes her work and the gratifying aspects of her job."
#6332,#63202,42,Bakers,Bakers,Baker,https://youtu.be/x0rYO5ig2bo,"Cowichan Bay","Vancouver Island/Coast","A baker in Cowichan Bay demonstrates how she uses machinery and hand skills to make a variety of baked goods. Viviana makes croissants! The baker takes pride in baking products that make her customers happy. She plans to open her own bakery business."
#6322,#63200,41,Cooks,Cooks,Cook,https://youtu.be/3gYAN-cJa-k,Victoria,"Vancouver Island/Coast","Viviana heads to Victoria and visits a cook who prepares meals and prioritizes tasks for the day. She learns all aspects of being a cook and how to prepare lemon ginger chicken! A busy kitchen requires coordination and awareness of safety. "
#3131,#31120,40,Pharmacists,Pharmacists,Pharmacist,https://youtu.be/m4OX-t2m01w,Cranbrook,Kootenay,"A pharmacist in Cranbrook shows Brian how she provides people with medications safely, prepares injection needles, gives good directions to the patient, and uses computer systems. It’s a great job that makes a difference in people’s lives!"
#3012,#31301,39,"Registered Nurses and Registered Psychiatric Nurses","Registered nurses and registered psychiatric nurses","Registered nurse",https://youtu.be/afZwxA4A2A4,Cranbrook,Kootenay,"A registered nurse tells Brian that “a huge part of nursing is having compassion”. A registered nurse has primary responsibility for coordination of the patient’s care and interacts with doctors, medical staff, social workers and the patient’s family."
#4151,#31200,38,Psychologists,Psychologists,"Clinical psychologist",https://youtu.be/inD3woCw1Xs,Nelson,Kootenay,"Brian meets a clinical psychologist who assesses patients’ problems and teaches them how to change their behaviour. She demonstrates how she communicates with children. She says a great psychologist needs to be empathic and really connect with people."
#6421,#64100,37,"Retail Salespersons","Retail salespersons and visual merchandisers","Retail salesperson",https://youtu.be/i0rUVZmINAw,Nelson,Kootenay,"Brian visits a clerk in a sports equipment store in Nelson and learns about how he sells a culture. He explains how he loves sports and is passionate about the products he sells. A job in sales can be a step to careers in real estate and other types of sales. "
#2121,#21110,36,"Biologists and Related Scientists","Biologists and related scientists",Biologist,https://youtu.be/Ji8bLaBa_YQ,Castlegar,Kootenay,"A biologist shows Brian how she monitors the impact of a hydro facility on the local environment. She describes different career paths in environmental sciences, and talks about how she likes to work outdoors and see the results of her work."
#0821,#80020,35,"Managers in Agriculture","Managers in agriculture","Vineyard manager",https://youtu.be/NUAG0a02Coc,Osoyoos,Thompson-Okanagan,"Brian takes a tour of a vineyard with the manager who is responsible for all aspects of the cultivation of grapes, including preparing the ground, irrigation, care of the plants, and planning for the next year. It’s a blend of art, science and business."
#3142,#31202,34,Physiotherapists,Physiotherapists,Physiotherapist,https://youtu.be/bAztsMnE_Fk,Penticton,Thompson-Okanagan,"A physiotherapist in Penticton shows Brian how she helps people move better, reduce pain, and recover from injuries. She advises patients on how muscles and joints can become stronger and move better."
#3411,#33100,33,"Dental Assistants","Dental assistants and dental laboratory assistants","Dental assistant",https://youtu.be/ciX-LlzGJfU,Summerland,Thompson-Okanagan,"Brian meets a dental assistant in Summerland who helps the dentist by passing instruments during treatment, taking x-rays, recording everything that is done, and maintains the patient’s records. It’s a great stepping stone to careers in health care!  "
#2271,#72600,32,"Air Pilots, Flight Engineers and Flying Instructors","Air pilots, flight engineers and flying instructors","Helicopter pilot",https://youtu.be/wNSbw_NYxgI,Vancouver,Mainland/Southwest,"Brian gets a bird’s eye view when he flies along with a helicopter pilot. The pilot describes different career paths and explains how pilots must not only understand the helicopter’s systems and technology, but also be a leader with “an adventurous spirit”."
#0422,#40021,31,"School Principals and Administrators of Elementary and Secondary Education","School principals and administrators of elementary and secondary education","School principal",https://youtu.be/fbPrT9g2GmY,Kelowna,Thompson-Okanagan,"Brian meets a school principal who supervises instruction programs, health and safety, events, and interacts with children, parents and the school board. She shares how she values the connections she makes with the children and their families."
#0631,#60030,30,"Restaurant and Food Service Managers","Restaurant and food service managers","Restaurant manager",https://youtu.be/rb_2YXACcYk,Kelowna,Thompson-Okanagan,"Viviana heads to Kelowna to meet a restaurant manager. The manager shows Viviana how she ensures standards are met, keeps up with trends, plans events, manages inventory and leads her team. She also describes how she uses her social and communication skills."
#8612,#85121,29,"Landscaping and Grounds Maintenance Labourers","Landscaping and grounds maintenance labourers","Grounds maintenance worker",https://youtu.be/Z_ifQaIiaUk,Kamloops,Thompson-Okanagan,"Viviana rides along with an assistant superintendent of golf course maintenance in Kamloops. He describes his work in landscaping, trail maintenance, road upkeep, stonework, pest control, machine operation, and management."
#4152,#41300,28,"Social Workers","Social workers","Social development worker",https://youtu.be/_VHlBeBn9gQ,"Williams Lake",Cariboo,"A social worker in Williams Lake tells Viviana about her education and background in helping people. She describes her work at City Hall where she works with many agencies to improve the quality of life in the community."
#7241,#72200,27,"Electricians (Except Industrial and Power System)","Electricians (except industrial and power system)",Electrician,https://youtu.be/cjsMfu9Qj9Q,"Williams Lake",Cariboo,"Viviana is guided through a house under construction by an electrician who works on residential, commercial and industrial projects. He says it’s fun to work on a design team of electricians, carpenters, concrete experts and drywallers."
#9431,#94120,26,"Sawmill Machine Operators","Sawmill machine operators","Sawmill operator",https://youtu.be/i6dKpSqR2qA,Vanderhoof,Cariboo,"A machine operator takes Viviana on a tour of a sawmill where he makes sure the machines are working properly. He uses technology and modern machinery to optimize the processing of wood. He works in a fast paced environment where safety is important."
#7271,#72310,25,Carpenters,Carpenters,Carpenter,https://youtu.be/oIUK0ItCIQo,"Prince George",Cariboo,"Viviana takes a trip to Prince George to visit a carpenter. She learns how carpenters interpret drawings, create footings for walls, pour concrete into the footings, and mark posts for walls and beams. She also learns about training and apprenticeship."
#9614,#95103,24,"Labourers in Wood, Pulp and Paper Processing","Labourers in wood, pulp and paper processing","Mill worker",https://youtu.be/UutVLyqbqls,Smithers,"North Coast & Nechako","Brian heads to Smithers to check out how mill workers can turn trees into anything. He sees how logs are delivered to the mill, cleaned, dried, cut, packaged and shipped to the customer. He learns this is a career with lots of variety and opportunity."
#4214,#42202,23,"Early Childhood Educators and Assistants","Early childhood educators and assistants","Early childhood educator",https://youtu.be/-qxLEZwlUHs,Smithers,"North Coast & Nechako","An educator at a daycare centre leads Brian and the children through various activities. There is no limit to the training available for preschool educators. In this rewarding career, you teach children the skills they’ll use for a lifetime. "
#7511,#73300,22,"Transport Truck Drivers","Transport truck drivers","Truck driver",https://youtu.be/A81nvDdP5KY,Terrace,"North Coast & Nechako","Brian heads to Terrace where he meets a truck driver. He rides along and learns about local and long distance trips and other opportunities, such as running your own business or becoming a heavy equipment operator. This job can be like a “paid tourist”."
#3234,#32102,21,"Paramedical Occupations","Paramedical occupations",Paramedic,https://youtu.be/njRyrPjYQx4,"Prince Rupert","North Coast & Nechako","Brian rides along with a paramedic in Prince Rupert who demonstrates how the ambulance crew respond to a call, administer treatment, and transport an injured person to the hospital. He describes different routes to a career as a paramedic."
#7451,#75100,20,"Longshore Workers","Longshore workers","Longshore worker",https://youtu.be/40hRk0VPE2c,"Prince Rupert","North Coast & Nechako","A longshore worker in Prince Rupert describes how he drives cranes to move cargo from ocean shipping containers to trucks and trains. A driver moves at least 20 containers an hour. Brian sits beside him as he operates the crane from 150 feet above the ground! "
#7521,#73400,19,"Heavy Equipment Operators (Except Crane)","Heavy equipment operators","Heavy equipment operator",https://youtu.be/mVeIwGbDlMc,"Ft. St. John",Northeast,"Brian visits a heavy equipment operator in Fort St. John who works on road construction, pipelines and major excavations. He shows Brian how to maintain equipment safety, and describes other careers in the industry closely related to heavy equipment."
#0811,#80010,18,"Managers in Natural Resources Production and Fishing","Managers in natural resources production and fishing","Mine manager",https://youtu.be/ObcqWez2ruI,"Dawson Creek",Northeast,"Brian interviews a mine manager who is responsible for the safety and smooth operation of a coal mine in northeastern B.C. He interacts with employees in different departments and describes the opportunities for advancement in the mining industry. "
#7321,#72410,17,"Automotive Service Technicians, Truck and Bus Mechanics and Mechanical Repairers","Automotive service technicians, truck and bus mechanics and mechanical repairers","Automotive technician",https://youtu.be/VJSxZsZEVCY,"Dawson Creek",Northeast,"Brian visits an automotive technician in northern B.C. and discovers how he solves problems with vehicles. Brian learns about his training and apprenticeship, the variety in the work, and the modern tools and technology used in his job."
#2212,#22101,16,"Geological and Mineral Technologists and Technicians","Geological and mineral technologists and technicians","Geological technician",https://youtu.be/wGlZIT2twbg,"Dawson Creek",Northeast,"A geotechnician in Dawson Creek shows Brian how he analyzes rock samples that are found through drilling, uses scientific equipment, and produces technical reports. He has experience at over 160 well site locations."
#8222,#82021,15,"Contractors and Supervisors, Oil and Gas Drilling and Services","Contractors and supervisors, oil and gas drilling and services","Well site supervisor",https://youtu.be/RcRcdYLPy1M,"Dawson Creek",Northeast,"Brian heads to northern B.C. to meet a supervisor of natural gas drilling. He shows Brian the tools, processes and working conditions in oil and gas well site operations. Technical skills, safety and attention to detail are important."
#1121,#11200,14,"Human Resources Professionals","Human resources professionals","Human resource specialist",https://youtu.be/lbuYUY0FfIo,Vancouver,Mainland/Southwest,"A human resources specialist in Vancouver tells Brian about his involvement in hiring, benefits, employee career growth, working with managers to build their teams, and generally making the organization a great place to work. "
#9617,#95106,13,"Labourers in Food, Beverage and Associated Products Processing","Labourers in food and beverage processing","Packaging associate",https://youtu.be/DjaICqD6akg,Langley,Mainland/Southwest,"Food processing is a modern and growing industry. A packaging associate in a meat processing plant shows Brian how she packages, labels and inspects food and food machinery. She works with technology and complies with high standards for public safety. "
#3413,#33102,12,"Nurse Aides, Orderlies and Patient Service Associates","Nurse aides, orderlies and patient service associates","Patient care attendant",https://youtu.be/tWXThcDKYjY,Vancouver,Mainland/Southwest,"A patient care attendant in a hospital shows Brian how he monitors patients’ vital signs, updates their records, and provides emotional support. He says this job is for you if you “have a big heart and like to help people”."
#1226,#12103,11,"Conference And Event Planners","Conference and event planners","Event planner",https://youtu.be/VZzto0mEJ_o,Vancouver,Mainland/Southwest,"A Vancouver event planner gives Viviana an inside glimpse into organizing a festival. Integrating suggestions from others, she coordinates plans and details, staying within the budget. Her joy comes from seeing visitors having a great time. "
#0124,#10022,10,"Advertising, Marketing and Public Relations Managers","Advertising, marketing and public relations managers","Sr. manager of communications",https://youtu.be/SOngj24r4IU,Vancouver,Mainland/Southwest,"The manager of communications at Canada’s largest credit union tells Brian about the variety in her work and the need to integrate complex ideas. This job can lead to careers in management, consulting and launching your own business.   "
#0124,#10022,9,"Advertising, Marketing and Public Relations Managers","Advertising, marketing and public relations managers","Sales coordinator",https://youtu.be/52xU5UoWp7c,Vancouver,Mainland/Southwest,"The senior sales coordinator for the BC Lions sells suites and corporate sponsorships. She needs to be competitive and creative, while developing strong relationships with partners. If you’re good at sales, you can sell anything, including yourself!"
#1521,#14400,8,"Shippers and Receivers","Shippers and receivers","Lead hand - warehouse department",https://youtu.be/PISPgBrwUAo,Richmond,Mainland/Southwest,"A shipper-receiver shows Viviana how he prepares products for shipping from a warehouse to businesses in the supply chain. The job requires teamwork and physical agility, and can lead to careers in business operations management. "
#3113,#31110,7,Dentists,Dentists,Dentist,https://youtu.be/2wAZjF3xlaw,Vancouver,Mainland/Southwest,"Brian heads to Vancouver to meet a dentist. Here he meets a dentist who emphasizes the creativity she brings to running her business and in her work where “each tooth is like a little sculpture”. It’s rewarding to make people smile!"
#1513,#74102,6,"Couriers, Messengers and Door-To-Door Distributors","Couriers and messengers",Courier,https://youtu.be/MRnjyXvIIQQ,Vancouver,Mainland/Southwest,"Couriers work outdoors in a fast-paced environment that requires instant decision-making. Viviana learns how couriers must balance aggressiveness, professionalism and courtesy “in a giant game of chess”."
#3124,#31303,5,"Allied Primary Health Practitioners","Physician assistants, midwives and allied health professionals",Midwife,https://youtu.be/ix9DzmPuv58,Vancouver,Mainland/Southwest,"A registered midwife explains to Viviana how she delivers a full program of regulated medical care for pregnant women, including helping to deliver babies and providing care before and after the birth. She loves being part of such a big event in people’s lives!"
#1228,#43203,4,"Employment Insurance, Immigration, Border Services and Revenue Officers","Border services, customs, and immigration officers","Program advisor",https://youtu.be/F9b2s14K9cc,Vancouver,Mainland/Southwest,"An advisor in the B.C. Provincial Nominee Program tells Viviana how she helps employers bring foreign workers to BC. She processes applications, travels overseas to recruit workers, and works with the public. She helps people’s dreams come true!"
#4165,#21110,3,"Health Policy Researchers, Consultants and Program Officers","Biologists and related scientists",Researcher,https://youtu.be/hOpgJ8bRAhg,Vancouver,Mainland/Southwest,"A spinal chord researcher shows Viviana how she develops new ways to treat people with spinal injuries. She presents her research at conferences all over the world. What’s most rewarding is knowing that her work will help a lot of people."
#2173,#21231,2,"Software Engineers and Designers","Software engineers and designers","Software engineer",https://youtu.be/obTfVrY5KLc,Burnaby,Mainland/Southwest,"Viviana interviews a software engineer in Vancouver who creates NHL video games for XBoxes and mobile devices. He says his problem-solving skills, work as part of a team, and communication skills are preparing him for any job."
#7512,#73301,1,"Bus Drivers, Subway Operators and Other Transit Operators","Bus drivers, subway operators and other transit operators","Bus driver",https://youtu.be/yYUbhKgdJRE,Vancouver,Mainland/Southwest,"A bus driver describes what being a “people person” really means—he works with thousands of people every day. He shows Viviana the importance of safety and manual dexterity in this job and that he has “a corner office with a view that always changes”. "
