0,"Legislative and senior management occupations","This broad category comprises legislators and senior management occupations.","Membres des corps législatifs et cadres supérieurs/cadres supérieures","Cette grande catégorie comprend les membres de corps législatifs et les cadres supérieurs.",1,,,0
6521,"Support occupations in accommodation, travel, tourism and amusement services","This minor group comprises support occupations in accommodation, travel and facilities set-up services; and operators and attendants in amusement, recreation and sport. They are employed by hotels, conference centres, retail establishments, passenger transport companies and throughout the public and private sectors; as well as by amusement parks, fairs, exhibitions, carnivals, arenas, billiard parlours, bowling alleys, golf courses, ski centres, tennis clubs, campgrounds and other recreational and sports facilities.","Personnel de soutien en services d'hébergement, de voyage, de tourisme et de loisirs","Ce sous-groupe comprend le personnel de soutien en services d'hébergement, de voyage, de montage d'installation et les opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions. Ils/elles travaillent dans les hôtels, les centres de conférence, les établissements de vente au détail, des sociétés de transport de passager et dans l'ensemble des secteurs publics et privés; également dans les parcs d'attractions, les foires, les expositions, les carnavals, les stades, les salles de billard, les salles de quilles, les terrains de golf, les centres de ski, les clubs de tennis, les terrains de camping et les autres établissements de sports et de loisirs.",4,5,652,
6220,"Specialized occupations in services","This minor group comprises specialized services occupations, including chefs; funeral directors and embalmers; jewellers, jewellery and watch repairers and related occupations. They are employed by restaurants, hotels, hospitals and other health care institutions, central food commissaries, clubs, and other similar establishments; on ships; at funeral homes; and at jewellery stores or repair shops; or they may be self-employed.","Personnel spécialisées dans les services","Ce sous-groupe comprend le personnel de services spécialisés, y compris les chefs; les directeurs/directrices de funérailles et embaumeurs/embaumeuses; les bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé. Ils/elles travaillent pour des restaurants, des hôtels, des centres hospitaliers et autres établissements de soins de santé, des services alimentaires centralisés, des clubs, et d'autres établissements semblables; sur des navires; dans des maisons funéraires; et dans les magasins de bijoux ou ateliers de réparations de bijoux; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,2,622,632
6320,"Cooks, butchers and bakers","This minor group comprises cooks, butchers and bakers. They are employed by restaurants, hotels, hospitals and other health care institutions, central food commissaries, clubs, educational institutions and other establishments; on ships; at construction and logging campsites; and by supermarkets, grocery stores, butcher shops, fish stores, bakeries, catering companies; or they may be self-employed.","Cuisiniers / cuisinières, bouchers / bouchères et boulangers-pâtissiers / boulangères-pâtissières","Ce sous-groupe comprend les cuisiniers/cuisinières, bouchers/bouchères et les boulangers-pâtissiers/boulangères-pâtissières. Ils/elles travaillent pour des restaurants, des hôtels, des centres hospitaliers et autres établissements de soins de santé, des services alimentaires centralisés, des clubs, des établissements d'enseignement et d'autres établissements; sur des navires; dans des chantiers de construction et des camps de bûcherons; et pour des supermarchés, des épiceries, des boucheries, des poissonneries, des boulangeries, des traiteurs; ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,3,632,
6320,"Cooks, butchers and bakers","This minor group comprises cooks, butchers and bakers. They are employed by restaurants, hotels, hospitals and other health care institutions, central food commissaries, clubs, educational institutions and other establishments; on ships; at construction and logging campsites; and by supermarkets, grocery stores, butcher shops, fish stores, bakeries, catering companies; or they may be self-employed.","Cuisiniers / cuisinières, bouchers / bouchères et boulangers-pâtissiers / boulangères-pâtissières","Ce sous-groupe comprend les cuisiniers/cuisinières, bouchers/bouchères et les boulangers-pâtissiers/boulangères-pâtissières. Ils/elles travaillent pour des restaurants, des hôtels, des centres hospitaliers et autres établissements de soins de santé, des services alimentaires centralisés, des clubs, des établissements d'enseignement et d'autres établissements; sur des navires; dans des chantiers de construction et des camps de bûcherons; et pour des supermarchés, des épiceries, des boucheries, des poissonneries, des boulangeries, des traiteurs; ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,3,632,633
6520,"Food support occupations","This minor group comprises food support occupations, including food and beverage servers; food counter attendants, kitchen helpers and related support occupations; and meat cutters and fishmongers in retail and wholesale. They are employed by restaurants, cafes, hotels, fast food outlets, cafeterias, hospitals and other establishments.","Personnel de soutien des aliments","Ce sous-groupe comprend le personnel de soutien aux services d'alimentation, y compris les serveurs/serveuses d'aliments et de boissons; les serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé; et les coupeurs/coupeuses de viande et poissonniers/poissonnières dans le commerce de gros et de détail. Ils/elles travaillent dans des restaurants, des cafés, des hôtels, des comptoirs de restauration rapide, des cafétérias, des centres hospitaliers et d'autres établissements.",4,5,652,
6220,"Specialized occupations in services","This minor group comprises specialized services occupations, including chefs; funeral directors and embalmers; jewellers, jewellery and watch repairers and related occupations. They are employed by restaurants, hotels, hospitals and other health care institutions, central food commissaries, clubs, and other similar establishments; on ships; at funeral homes; and at jewellery stores or repair shops; or they may be self-employed.","Personnel spécialisées dans les services","Ce sous-groupe comprend le personnel de services spécialisés, y compris les chefs; les directeurs/directrices de funérailles et embaumeurs/embaumeuses; les bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé. Ils/elles travaillent pour des restaurants, des hôtels, des centres hospitaliers et autres établissements de soins de santé, des services alimentaires centralisés, des clubs, et d'autres établissements semblables; sur des navires; dans des maisons funéraires; et dans les magasins de bijoux ou ateliers de réparations de bijoux; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,2,622,634
6321,"Hairstylists and estheticians","This minor group comprises hairstylists, barbers, estheticians, electrologists and related occupations. They are employed by hair salons, barber shops, vocational schools and health care establishments; theatre, film and television establishments; or they may be self-employed.","Coiffeurs / coiffeuses et esthéticiens / esthéticiennes","Ce sous-groupe comprend les coiffeurs/coiffeuses, barbiers, et les esthéticiens/esthéticiennes, les électrolystes et le personnel assimilé. Ils/elles travaillent pour des salons de coiffure, des écoles de formation professionnelle et des établissements de soins de santé; des théâtres et des studios de cinéma ou de télévision; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,3,632,
6322,"Shoe repairers, shoemakers and upholsterers","This minor group comprises shoe repairers, shoemakers and upholsterers. They are employed by custom shoemaking establishments; shoe and furniture repair shops; and retail stores and outlets; or they may be self-employed.","Cordonniers / cordonnières, fabricants / fabricantes de chaussures et tapissiers-garnisseurs / tapissières-garnisseuses","Ce sous-groupe comprend les cordonniers/cordonnières, fabricants/fabricantes de chaussures et tapissiers-garnisseurs/tapissières-garnisseuses. Ils/elles travaillent pour des établissements de fabrication de chaussures sur mesure; des ateliers de réparation de chaussures; des magasins et points de vente de détail; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,3,632,
6420,"Occupations in personal service","This minor group comprises occupations in personal service, including tailors, dressmakers, furriers and milliners, and image, social and other personal consultants. They are employed by dry cleaners and clothing alteration establishments; specialized image and social consultancy companies; and other specialized companies in personal and customer services; or they may be self-employed.","Personnel des services personnels","Ce sous-groupe comprend le personnel des services personnels, y compris les tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes, et les conseillers/conseillères imagistes, conseillers mondains/conseillères mondaines et autres conseillers/conseillères en soins personnalisés. Ils/elles travaillent pour des établissements de réparation de vêtements; des compagnies de services-conseils en image et modalités; et d'autres compagnies spécialisées en services personnels et en service à la clientèle; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,4,642,
6210,"Technical sales specialists in wholesale trade and retail and wholesale buyers","This minor group comprises specialized sales occupations, including technical sales specialists in wholesale trade and retail and wholesale buyers. They are employed by establishments that produce and provide technical goods and services and retail and wholesale establishments; or they may be self-employed.","Personnel technique spécialisé du commerce de gros et acheteurs / acheteuses du commerce de détail et de gros","Ce sous-groupe comprend le personnel des ventes spécialisées, y compris le personnel technique spécialisé du commerce de gros et les acheteurs/acheteuses du commerce de détail et de gros. Ils/elles travaillent pour des établissements qui produisent et qui fournissent des biens et services techniques et des établissements de commerce de détail et de gros; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,2,621,641
6410,"Retail salespersons and non-technical wholesale trade sales and account representatives","This minor group comprises retail salespersons and non-technical wholesale trade sales and account representatives. They are employed by petroleum companies, food, beverage and tobacco producers, clothing manufacturers, motor vehicles and parts manufacturers, hotels, business services firms, and transportation companies, and other establishments that produce and provide goods and services; also by stores and other retail businesses, as well as wholesale businesses that sell on a retail basis to the public.","Vendeurs / vendeuses en commerce de détail et représentants / représentantes des ventes et des comptes en commerce de gros (non-technique)","Ce sous-groupe comprend les vendeurs/vendeuses et décorateur-étalagistes/décoratrices-étalagistes en commerce de détail et les représentants/représentantes des ventes et des comptes en commerce de gros (non-technique). Ils/elles travaillent pour des sociétés pétrolières, des producteurs d'aliments et boissons, de tabac et de vêtements, des fabricants de véhicules à moteur et de pièces, des hôtels, des prestataires de services aux entreprises, des sociétés de transports, ainsi que d'autres établissements qui produisent et fournissent des biens et services; également dans des magasins et d'autres établissements de vente au détail ainsi que dans des commerces de gros ouverts au public pour la vente au détail.",4,4,641,
6410,"Retail salespersons and non-technical wholesale trade sales and account representatives","This minor group comprises retail salespersons and non-technical wholesale trade sales and account representatives. They are employed by petroleum companies, food, beverage and tobacco producers, clothing manufacturers, motor vehicles and parts manufacturers, hotels, business services firms, and transportation companies, and other establishments that produce and provide goods and services; also by stores and other retail businesses, as well as wholesale businesses that sell on a retail basis to the public.","Vendeurs / vendeuses en commerce de détail et représentants / représentantes des ventes et des comptes en commerce de gros (non-technique)","Ce sous-groupe comprend les vendeurs/vendeuses et décorateur-étalagistes/décoratrices-étalagistes en commerce de détail et les représentants/représentantes des ventes et des comptes en commerce de gros (non-technique). Ils/elles travaillent pour des sociétés pétrolières, des producteurs d'aliments et boissons, de tabac et de vêtements, des fabricants de véhicules à moteur et de pièces, des hôtels, des prestataires de services aux entreprises, des sociétés de transports, ainsi que d'autres établissements qui produisent et fournissent des biens et services; également dans des magasins et d'autres établissements de vente au détail ainsi que dans des commerces de gros ouverts au public pour la vente au détail.",4,4,641,642
6430,"Occupations in food and beverage service","This minor group comprises occupations in food and beverage service, including Maîtres d'hôtel and hosts/hostesses, and bartenders. They are employed by restaurants, hotel dining rooms, private clubs, cocktail lounges, bars, taverns, banquet halls and similar establishments.","Personnel des services des aliments et des boissons","Ce sous-groupe comprend le personnel des services des aliments et des boissons, y compris les Maîtres d'hôtel et hôtes/hôtesses, et les barmen/barmaids. Ils/elles travaillent dans des restaurants, des salles à manger d'hôtels, des clubs privés, des bars-salons, des bars, des tavernes, des salles de banquet et des établissements semblables.",4,4,643,651
6520,"Food support occupations","This minor group comprises food support occupations, including food and beverage servers; food counter attendants, kitchen helpers and related support occupations; and meat cutters and fishmongers in retail and wholesale. They are employed by restaurants, cafes, hotels, fast food outlets, cafeterias, hospitals and other establishments.","Personnel de soutien des aliments","Ce sous-groupe comprend le personnel de soutien aux services d'alimentation, y compris les serveurs/serveuses d'aliments et de boissons; les serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé; et les coupeurs/coupeuses de viande et poissonniers/poissonnières dans le commerce de gros et de détail. Ils/elles travaillent dans des restaurants, des cafés, des hôtels, des comptoirs de restauration rapide, des cafétérias, des centres hospitaliers et d'autres établissements.",4,5,652,
6431,"Occupations in travel and accommodation","This minor group comprises occupations in travel and accommodation, including travel counsellors; pursers and flight attendants; airline ticket and service agents; ground and water transport ticket agents, cargo service representatives, and related clerks; and hotel front desk clerks. They are employed by travel agencies, transportation and tourism firms, travel wholesalers, bus, railway, airline, tour boat and cruise ship companies, public transit establishments, hotels, motels, resorts and freight forwarding and shipping companies.","Personnel de l'hébergement et des voyages","Ce sous-groupe comprend le personnel des voyages et l'hébergement, y compris les conseillers/conseillères en voyages; les commissaires et agents/agentes de bord; les agents/agentes à la billetterie et aux services aériens; les agents/agentes à la billetterie, représentants/représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime; et les réceptionnistes d'hôtel. Ils/elles travaillent pour des agences de voyages, des sociétés de transports et de tourisme, des grossistes en voyages, des sociétés de transport par autobus, de transport ferroviaire et de transport aérien, des compagnies de bateaux d'excursion et de paquebots de croisière, des services de transport en commun, des hôtels, des motels, des lieux de villégiature et des entreprises d'expédition et d'acheminement de fret.",4,5,643,652
6432,"Tourism and amusement services occupations","This minor group comprises tourism and amusement services occupations, including tour and travel guides; casino workers; and outdoor sport and recreational guides. They are employed by tour operators, resorts and other establishments, casinos and private companies; or they may be self-employed.","Personnel des services de tourisme et de loisirs","Ce sous-groupe comprend le personnel des services de tourisme et de loisirs, y compris les guides touristiques et guides itinérants/guides itinérantes; les travailleurs/travailleuses dans les casinos; et les guides d'activités récréatives et sportives de plein air. Ils/elles travaillent pour des voyagistes, des centres de villégiature et d'autres établissements, des casinos et des entreprises privées; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,4,643,653
6441,"Security guards and related security service occupations","This minor group comprises security guards and related security service occupations, including security guards, armoured car guards, corporate security officers, private investigators, retail loss prevention officers and workers in other related security service occupations. They are employed by public and private security agencies; residential complexes; educational, cultural, financial and health institutions; retail establishments; investigation service companies; transportation facilities; and organizations throughout the public and private sectors; or they may be self-employed.","Agents / agentes de sécurité et personnel assimilé des services de sécurité","Ce sous-groupe comprend les agents/agentes de sécurité et personnel assimilé des services de sécurité, y compris les agents de sécurité, gardiens de véhicules blindés, agents de sécurité d'entreprise, enquêteurs privés, agents de prévention des pertes au détail et travailleurs/travailleuses d'autres professions liées aux services de sécurité. Ils/elles travaillent dans des sociétés de sécurité publiques ou privées; des complexes résidentiels; des institutions éducatives, culturelles, financières et de santé; des établissements de vente au détail; des entreprises de services d'enquêtes; des installations de transport; des organisations des secteurs public et privé; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,4,644,654
4510,"Students monitors, crossing guards and related occupations","This minor group comprises student monitors, crossing guards and related occupations. They are employed by municipalities; public and private elementary and secondary schools; and public and private security agencies.","Surveillants / surveillantes d’élèves, brigadiers / brigadières et autres professions connexes","Ce sous-groupe comprend les surveillants/surveillantes d'élèves, brigadiers/brigadières et autres professions connexes. Ils/elles travaillent dans des municipalités; des écoles élémentaires et secondaires publiques ou privées; et des agences de sécurité publiques et privées.",4,5,451,
6532,"Service support and related occupations","This minor group comprises service support and related occupations, including dry cleaning, laundry and related occupations, and other service support occupations not elsewhere classified. They are employed in dry cleaning, laundry and fur cleaning establishments, in the laundries of hotels, hospitals and other institutions; and by a wide range of establishments.","Personnel de services de soutien et personnel assimilé","Ce sous-groupe comprend le personnel de services de soutien et personnel assimilé, y compris le personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé, et les autres professions de soutien en service non classifiées ailleurs. Ils/elles travaillent pour des établissements de nettoyage à sec, de blanchissage et de nettoyage de fourrure, dans la blanchisserie d'hôtels, d'hôpitaux et d'autres établissements; et pour un large éventail d'établissements semblables.",4,5,653,
6440,"Customer and information services representatives","This minor group comprises customer and information services representatives, including customer services representatives in financial institutions; postal services representatives; and other customer and information services representatives. They are employed by banks, trust companies, credit unions and similar financial institutions; retail establishments, contact centres, insurance, telephone and utility companies; Canada Post Corporation, courier and parcel express companies and establishments; and other establishments throughout the public and private sectors.","Représentants / représentantes aux services à la clientèle et services d'information","Ce sous-groupe comprend les représentants/représentantes aux services à la clientèle et services d'information, y compris les représentants/représentantes au service à la clientèle des institutions financières; les représentants/représentantes des services postaux; et les autres préposés/autres préposées aux services d'information et aux services à la clientèle. Ils/elles travaillent dans des banques, des sociétés de fiducie, des caisses populaires et d'autres établissements financiers semblables; des établissements de vente au détail, des centres de contact, des compagnies d'assurance, de téléphone et des entreprises de services d'utilité publique; Société canadienne des postes, des services de messagerie et d'expédition de colis; et dans d'autres établissements des secteurs public et privé.",4,4,644,655
6321,"Hairstylists and estheticians","This minor group comprises hairstylists, barbers, estheticians, electrologists and related occupations. They are employed by hair salons, barber shops, vocational schools and health care establishments; theatre, film and television establishments; or they may be self-employed.","Coiffeurs / coiffeuses et esthéticiens / esthéticiennes","Ce sous-groupe comprend les coiffeurs/coiffeuses, barbiers, et les esthéticiens/esthéticiennes, les électrolystes et le personnel assimilé. Ils/elles travaillent pour des salons de coiffure, des écoles de formation professionnelle et des établissements de soins de santé; des théâtres et des studios de cinéma ou de télévision; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,3,632,656
6420,"Occupations in personal service","This minor group comprises occupations in personal service, including tailors, dressmakers, furriers and milliners, and image, social and other personal consultants. They are employed by dry cleaners and clothing alteration establishments; specialized image and social consultancy companies; and other specialized companies in personal and customer services; or they may be self-employed.","Personnel des services personnel","Ce sous-groupe comprend le personnel des services personnels, y compris les tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes, et les conseillers/conseillères imagistes, conseillers mondains/conseillères mondaines et autres conseillers/conseillères en soins personnalisés. Ils/elles travaillent pour des établissements de réparation de vêtements; des compagnies de services-conseils en image et modalités; et d'autres compagnies spécialisées en services personnels et en service à la clientèle; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,4,642,
6522,"Support occupations in personal services","This minor group comprises support occupations in personal services, including pet groomers and animal care workers and other support occupations in personal services not elsewhere classified. They are employed by animal hospitals and clinics, animal shelters, breeding and boarding kennels, zoos, laboratories, retail pet shops, dog training schools and pet grooming establishments; or they may be self-employed.","Personnel de soutien dans les services personnels","Ce sous-groupe comprend le personnel de soutien dans les services personnels, y compris les soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux, et les autres professions de soutien dans les services personnels non classifiées ailleurs. Ils/elles travaillent pour des hôpitaux et cliniques vétérinaires, des refuges pour animaux, des chenils d'élevage et de garde d'animaux, des jardins zoologiques, des laboratoires, des animaleries, des écoles de dressage et des établissements de toilettage d'animaux; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,5,652,
6510,"Cashiers and other sales support occupations","This minor group comprises cashiers; service station attendants; store shelf stockers, clerks and order fillers; and other sales related occupations. They are employed in stores, restaurants, theatres, recreational and sports establishments, currency exchange booths, government offices, business offices and other service, retail and wholesale establishments; and by automotive service stations, marinas, manufacturers, telemarketing companies and call centres and warehouses; or they may be self-employed.","Caissiers / caissières et autres personnel de soutien aux ventes","Ce sous-groupe comprend les caissiers/caissières, les préposés/préposées de stations-service; les garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins; et les professions de soutien aux ventes. Ils/elles travaillent dans des magasins, des restaurants, des cinémas, des centres sportifs et récréatifs, des bureaux de change, des administrations publiques, des bureaux d'affaires et d'autres entreprises de services ainsi que des commerces de détail et de gros; également par des stations-service, des marinas, des fabricants, des sociétés de télémarketing et des centres d'appels et entrepôts; ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,5,651,661
6510,"Cashiers and other sales support occupations","This minor group comprises cashiers; service station attendants; store shelf stockers, clerks and order fillers; and other sales related occupations. They are employed in stores, restaurants, theatres, recreational and sports establishments, currency exchange booths, government offices, business offices and other service, retail and wholesale establishments; and by automotive service stations, marinas, manufacturers, telemarketing companies and call centres and warehouses; or they may be self-employed.","Caissiers / caissières et autres personnel de soutien aux ventes","Ce sous-groupe comprend les caissiers/caissières, les préposés/préposées de stations-service; les garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins; et les professions de soutien aux ventes. Ils/elles travaillent dans des magasins, des restaurants, des cinémas, des centres sportifs et récréatifs, des bureaux de change, des administrations publiques, des bureaux d'affaires et d'autres entreprises de services ainsi que des commerces de détail et de gros; également par des stations-service, des marinas, des fabricants, des sociétés de télémarketing et des centres d'appels et entrepôts; ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,5,651,662
6520,"Food support occupations","This minor group comprises food support occupations, including food and beverage servers; food counter attendants, kitchen helpers and related support occupations; and meat cutters and fishmongers in retail and wholesale. They are employed by restaurants, cafes, hotels, fast food outlets, cafeterias, hospitals and other establishments.","Personnel de soutien des aliments","Ce sous-groupe comprend le personnel de soutien aux services d'alimentation, y compris les serveurs/serveuses d'aliments et de boissons; les serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé; et les coupeurs/coupeuses de viande et poissonniers/poissonnières dans le commerce de gros et de détail. Ils/elles travaillent dans des restaurants, des cafés, des hôtels, des comptoirs de restauration rapide, des cafétérias, des centres hospitaliers et d'autres établissements.",4,5,652,671
6521,"Support occupations in accommodation, travel, tourism and amusement services","This minor group comprises support occupations in accommodation, travel and facilities set-up services; and operators and attendants in amusement, recreation and sport. They are employed by hotels, conference centres, retail establishments, passenger transport companies and throughout the public and private sectors; as well as by amusement parks, fairs, exhibitions, carnivals, arenas, billiard parlours, bowling alleys, golf courses, ski centres, tennis clubs, campgrounds and other recreational and sports facilities.","Personnel de soutien en services d'hébergement, de voyage, de tourisme et de loisirs","Ce sous-groupe comprend le personnel de soutien en services d'hébergement, de voyage, de montage d'installation et les opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions. Ils/elles travaillent dans les hôtels, les centres de conférence, les établissements de vente au détail, des sociétés de transport de passager et dans l'ensemble des secteurs publics et privés; également dans les parcs d'attractions, les foires, les expositions, les carnavals, les stades, les salles de billard, les salles de quilles, les terrains de golf, les centres de ski, les clubs de tennis, les terrains de camping et les autres établissements de sports et de loisirs.",4,5,652,672
7320,"Building maintenance installers, services and repairers","This minor group comprises building maintenance installers, servicers and repairers, including residential and commercial installers and servicers; general building maintenance workers and building superintendents; pest controllers and fumigators; and other repairers and servicers. They are employed by companies specializing in specific product installation and service; water filtration and distribution plants and waste treatment plants; gas distribution companies; pest control companies; and product specialty repair shops and service establishments; or they may be self-employed.","Préposés à l’entretien général d'édifice, d'installation et de réparation","Ce sous-groupe comprend les préposés à l'entretien général d'édifice, d'installation et de réparation, y compris le personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial; les préposés à l'entretien général et surintendants/surintendantes; les fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine; et les autres réparateurs/réparatrices et préposés/préposées à l'entretien. Ils/elles travaillent dans des entreprises spécialisées dans l'installation et l'entretien de produits particuliers; dans des entreprises de distribution de gaz; pour des compagnies de contrôle de la vermine; dans des ateliers spécialisés en réparation et dans des établissements de services; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,3,732,673
6531,Cleaners,"This minor group comprises cleaners, including light duty cleaners; specialized cleaners; and janitors, caretakers and heavy-duty cleaners. They are employed by hotels, motels and resorts; shopping and recreational facilities; hospitals, health care facilities and educational and other institutions; building management companies, cleaning service companies, condominium corporations and private individuals; and industrial, religious and other establishments; or they may be self-employed.","Nettoyeurs / nettoyeuses","Ce sous-groupe comprend les nettoyeurs/nettoyeuses, y compris les préposés/préposées à l'entretien ménager et au nettoyage pour travaux légers; les nettoyeurs spécialisés/nettoyeuses spécialisées; et les concierges et nettoyeurs/nettoyeuses pour gros travaux. Ils/elles travaillent pour des hôtels, motels et centres de villégiature; des installations commerciales et récréatives; des hôpitaux, établissements de soins de santé et d'enseignement et autres établissements; des sociétés de gestion d'immeubles, entreprises de services de nettoyage, associations condominiales et particuliers; des établissements industriels, religieux et autres; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,5,653,
6532,"Service support and related occupations","This minor group comprises service support and related occupations, including dry cleaning, laundry and related occupations, and other service support occupations not elsewhere classified. They are employed in dry cleaning, laundry and fur cleaning establishments, in the laundries of hotels, hospitals and other institutions; and by a wide range of establishments.","Personnel de services de soutien et personnel assimilé","Ce sous-groupe comprend le personnel de services de soutien et personnel assimilé, y compris le personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé, et les autres professions de soutien en service non classifiées ailleurs. Ils/elles travaillent pour des établissements de nettoyage à sec, de blanchissage et de nettoyage de fourrure, dans la blanchisserie d'hôtels, d'hôpitaux et d'autres établissements; et pour un large éventail d'établissements semblables.",4,5,653,674
7201,"Contractors and supervisors, technical industrial, electrical and construction trades and related workers","This minor group comprises contractors and supervisors, technical industrial, electrical and construction trades and related workers, including contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations; contractors and supervisors, electrical trades and telecommunications occupations; contractors and supervisors, pipefitting trades; contractors and supervisors, carpentry trades; and contractors and supervisors, other construction trades, installers, repairers and servicers. Contractors own and operate their own businesses and supervisors supervise and coordinate the activities of workers.  They are employed by construction companies; electrical, mechanical, carpentry, bricklaying, masonry, cement and concrete, plastering, drywalling and lathing, roofing, insulation, painting, floor covering, construction glass installation, and plumbing and pipefitting trade contractors; maintenance departments of industrial, commercial and manufacturing establishments; machine shops; structural, platework and related metal products fabrication, manufacturing and erecting companies; electric power generation, transmission and distribution companies and public utility commissions; telephone, cable and satellite television and other telecommunications transmission companies; gas distribution companies; manufacturers of custom furniture and fixtures and of precast concrete products; service and repair shops; glass fabrication shops; and pest control companies; or they may be self-employed.","Entrepreneurs / entrepreneuses et contremaîtres / contremaîtresses du personnel des métiers industriels, de la construction, de l'électricité et du personnel assimilé","Ce sous-groupe comprend les entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses du personnel des métiers industriels, de la construction, de l'électricité et du personnel assimilé, y compris les entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé; les entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications; les entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie; les entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie; et les entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation. Les entrepreneurs/entrepreneuses gèrent et opèrent leurs propres entreprises tandis que les contremaîtres/contremaîtresses, superviseurs/superviseures ou surveillants/surveillantes supervisent et coordonnent les activités des travailleurs/travailleuses.  Ils/elles travaillent pour des compagnies de constructions; des entrepreneurs/entrepreneuses en électricité, mécanique, charpenterie, briquetage, maçonnerie, ciment et béton, plâtrage, pose de gypse, pose de couvertures, isolation, peinture, carrelage, installation de vitres, ainsi qu'en plomberie et tuyauterie; des établissements en service d'entretien industriels, commerciaux ou de fabrication; des ateliers d'usinage; des entreprises de fabrication, de transformation et de montage des produits structuraux et de tôleries; des entreprises de production, de transmission et de distribution d'électricité, ainsi que des services d'utilité publique; des compagnies de télédistribution, des services téléphoniques et autres services de télécommunications; des établissements de distribution de gaz; des entreprises de fabrication de mobilier et d'accessoires sur mesure, ainsi que de produits préfabriqués en béton; des ateliers de réparation et d'entretien; des ateliers de fabrication de produits en verre; des compagnies de contrôle de la vermine; ou ils/elles peuvent être des travailleurs/travailleuses autonomes.",4,2,720,720
