Niveau,Structure hiérarchique,Code dela CNP 2021 v1.0,Titres de classes,Définitions de la classe
5,Groupe de base,52110,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo,"Les cadreurs de films et les cadreurs vidéo utilisent des ciné-caméras, des caméras vidéo et de l'équipement connexe pour enregistrer sur pellicule des nouvelles, des événements en direct, des films, des vidéos et des émissions télédiffusées. Ils travaillent pour des réseaux et des stations de télédiffusion, des entreprises cinématographiques et de production de films vidéo et les services de communication interne des grandes sociétés commerciales."
5,Groupe de base,52111,Techniciens/techniciennes en graphisme,"Les techniciens en graphisme collaborent à la conception de projets, interprètent les spécifications conceptuelles ou les esquisses d'un projet, font le montage, la mise en page, le lettrage et préparent les documents de production pour fins d'impression, d'édition électronique ou de production multimédia. Ils travaillent dans des maisons d'édition et de communication, des agences de publicité ou de marketing, des imprimeries, des centres de production multimédia et des compagnies de télévision et de production de films, ou ils peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,52112,Techniciens/techniciennes en radiotélédiffusion,"Les techniciens en radiotélédiffusion installent, montent, font fonctionner et réparent l'équipement électronique qui sert à enregistrer et à diffuser des émissions de radio et de télévision en direct ou en différé ainsi qu'à produire des séquences visuelles et sonores diffusées sur Internet. Ils travaillent dans des entreprises et des chaînes de radiodiffusion et de télédiffusion, des entreprises d'équipement de diffusion et des fournisseurs de services de communication sur Internet."
5,Groupe de base,52113,Techniciens/techniciennes en enregistrement audio et vidéo,"Les techniciens en enregistrement audio et vidéo opèrent de l'équipement pour enregistrer, mixer et monter le son, la musique et les bandes vidéo, pour les productions cinématographiques, les émissions radiotélédiffusées, les vidéos, les enregistrements et les événements en direct. Ils travaillent pour des entreprises de multimédias, des compagnies de production cinématographique, de production de vidéos et de concerts, des entreprises d'enregistrement de son, des troupes de théâtre et de danse, des établissements d'enseignement, des clubs, des hôtels, des formations musicales, des stations de radio, des réseaux de télévision et des entreprises de production et d'édition vidéo."
5,Groupe de base,52114,Annonceurs/annonceuses et autres communicateurs/communicatrices,"Les annonceurs et autres communicateurs lisent des bulletins d'information, des nouvelles sportives, des bulletins météorologiques, des bulletins d'intérêt public et des annonces publicitaires, et ils animent des émissions de divertissement et des émissions d'information à la radio ou à la télévision. Ils travaillent principalement pour des stations et réseaux de radio et de télévision et pour des entreprises commerciales qui produisent des annonces publicitaires pour la radio ou la télévision."
5,Groupe de base,52119,"Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène","Les autres travailleurs techniques et de coordination du cinéma, de la radiotélédiffusion et des arts de la scène coordonnent et accomplissent des tâches spécifiques pour des productions télédiffusées, radiodiffusées et cinématographiques, des bulletins d'information, des productions théâtrales et d'autres productions en direct ou en différé. Ils travaillent dans des stations et des réseaux de télévision et de radio, des studios d'enregistrement, des compagnies de production de films et de vidéos, des compagnies de promotion de concerts, et des compagnies et des troupes de théâtre et de danse."
4,Sous-groupe,5212,Designers graphiques et d'intérieur,"Ce sous-groupe les designers graphiques et illustrateurs/illustratrices, et les designers d'intérieur et décorateurs/décoratrices d'intérieur. Ils/elles travaillent pour des entreprises de publicité, de graphisme, de communications, de construction, d'architecture, de design d'intérieur et de production multimédia et d'autres établissements ayant des services connexes comme des établissements hôteliers, des restaurants et de vente au détail; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,52120,Designers graphiques et illustrateurs/illustratrices,"Les designers graphiques conçoivent et produisent du matériel graphique et visuel pour communiquer efficacement des renseignements pour des imprimés, de la publicité, des films, des emballages, des affiches, des panneaux indicateurs et des produits médias interactifs tels que des sites Web et des disques compacts. Ils travaillent dans des entreprises de graphisme et de publicité, des établissements qui ont un service de publicité ou de communications et des centres de production multimédia, ou ils peuvent être des travailleurs autonomes. Les designers graphiques qui occupent des postes de supervision, de consultation ou de gestion de projets sont compris dans ce groupe de base. Les illustrateurs conçoivent et réalisent des illustrations pour représenter en images divers contenus d'information. Ils sont presque exclusivement des travailleurs autonomes."
5,Groupe de base,52121,Designers d'intérieur et décorateurs/décoratrices d'intérieur,"Les designers d'intérieur et les décorateurs d'intérieur créent et réalisent des concepts d'aménagement d'intérieur esthétique, fonctionnel et sécuritaire pour des immeubles de type résidentiel, commercial, culturel, institutionnel et industriel. Ils travaillent dans des firmes d'architectes et de design d'intérieur, des établissements de vente au détail, des sociétés de construction, des centres hospitaliers, des compagnies aériennes, des chaînes d'hôtels et de restaurants, et d'autres établissements, ou ils peuvent être des travailleurs autonomes."
2,Grand groupe,53,"Personnel des arts, de la culture et des sports","Ce grand groupe comprend le personnel des arts, de la culture et des sports. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,531,Personnel des arts et de la culture,"Ce sous-grand groupe comprend le personnel des arts et de la culture, y compris le personnel des musées et des galeries d'art; les photographes et personnel de soutien des arts et de la culture; et le personnel des arts créatifs et de la scène."
4,Sous-groupe,5310,Personnel des musées et des galeries d'art,"Ce sous-groupe comprend le personnel des musées et des galeries d'art, y compris les registraires, restaurateurs/restauratrices, interprètes et autres travailleurs/travailleuses dans les domaines apparentés des musées et des galeries. Ils/elles travaillent pour des bibliothèques, des archives publiques, des musées et des galeries; des points de vente au détail; des parcs, des aquariums, des jardins zoologiques, des centres d'interprétation, des jardins botaniques, des centres culturels, des sanctuaires naturels, des lieux historiques et patrimoniaux et à d'autres endroits."
5,Groupe de base,53100,"Registraires, restaurateurs/restauratrices, interprètes et autres travailleurs/travailleuses dans les domaines apparentés des musées et des galeries d'art","Les registraires, restaurateurs, interprètes et autres travailleurs dans les domaines apparentés des musées et des galeries d'art comprend les travailleurs chargés du classement et du catalogage d'artéfacts dans des musées et d'objets d'art dans des galeries d'art, et ceux qui oeuvrent dans la construction et l'installation des expositions et des étalages, la restauration, l'entretien et l'entreposage des collections et l'encadrement d'objets d'art, ainsi que ceux qui exercent d'autres fonctions de soutien reliées aux activités de conservation et de restauration. Ils travaillent dans les musées et les galeries d'art. Les encadreurs et les taxidermistes peuvent aussi travailler dans des points de vente au détail, ou ils peuvent être des travailleurs/travailleuses autonomes. Ce groupe de base comprend aussi les interprètes des musées et les autres animateurs qui accompagnent les visites guidées. Ils travaillent dans des galeries d'art, des musées, des parcs, des aquariums, des jardins zoologiques, des centres d'interprétation, des jardins botaniques, des centres culturels, des sanctuaires naturels, des lieux historiques et patrimoniaux, et à d'autres endroits."
4,Sous-groupe,5311,Photographes et personnel de soutien des arts et de la culture,"Ce sous-groupe comprend les photographes et le personnel de soutien des arts et de la culture, tels que les assistants/assistantes et opérateurs/opératrices du domaine du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène. Ils/elles travaillent pour des studios de photographie et d'enregistrement sonore; des musées; le gouvernement; des réseaux et stations de télévision et de radio; des compagnies de production de films et de vidéo; des journaux et magazines; et dans des compagnies et des troupes de théâtre; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,53110,Photographes,"Les photographes utilisent des appareils photographiques pour prendre des photographies de personnes, d'événements, de scènes, d'objets, de produits et autres sujets. Ils travaillent dans des studios de photographie, pour des journaux, des revues, des musées et le gouvernement. Ils peuvent aussi être des travailleurs autonomes."
5,Groupe de base,53111,"Assistants/assistantes et opérateurs/opératrices du domaine du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène","Les assistants et opérateurs du domaine du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène accomplit des tâches reliées à ces secteurs d'activités. Ils travaillent dans des réseaux et des stations de radio et de télévision, des studios d'enregistrement, des compagnies de production de films et de vidéos et dans des compagnies et des troupes de théâtre."
4,Sous-groupe,5312,Personnel des arts créatifs et de la scène,"Ce sous-groupe comprend le personnel des arts créatifs et de la scène, y compris les danseurs/danseuses; les acteurs/actrices, comédiens/comédiennes et artistes de cirque; les peintres, sculpteurs/sculpteures et autres artistes des arts visuels; les ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques; artisans/artisanes; patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure. Ils/elles travaillent pour des stations de radio et de télévision, des services de radiodiffusion et des studios d'enregistrement de films, de programmes de télévision et de musique; des entreprises de publicité et de production de disques; des troupes de ballet, de danse et d'opéra; des orchestres, groupes, chorales, salles de concert, cinémas, bars-salons et boîtes de nuit; des compagnies de production télévisuelle, théâtrale, cinématographique et autres; des fabricants d'articles en textile, en cuir ou en fourrure; des associations d'artisans; des écoles de danse, de théâtre et d'arts; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,53120,Danseurs/danseuses,"Les danseurs travaillent pour des compagnies de danse et de ballet, dans des productions télévisuelles et cinématographiques, dans des boîtes de nuit ou des établissements similaires. Ce groupe de base inclut également les professeurs de danse qui enseignent habituellement dans des écoles et des académies de danse."
5,Groupe de base,53121,"Acteurs/actrices, comédiens/comédiennes et artistes de cirque","Les acteurs, comédiens et artistes de cirque interprètent des rôles et des disciplines des arts du cirque dans des cirques et productions cinématographiques, télévisuelles, théâtrales et radiophoniques pour divertir des auditoires variés. Ils travaillent dans des cirques et compagnies de production cinématographique, télévisuelle, théâtrale et autres compagnies de production. Ce groupe de base comprend les professeurs d'art dramatique qui travaillent dans les écoles d'art dramatique."
5,Groupe de base,53122,"Peintres, sculpteurs/sculpteures et autres artistes des arts visuels","Les peintres, sculpteurs et autres artistes des arts visuels créent des peintures, des dessins, des sculptures, des gravures et d'autres oeuvres artistiques originales. Ils sont habituellement des travailleurs autonomes. Ce groupe de base comprend aussi les professeurs d'art, qui enseignent généralement dans des écoles des beaux-arts."
5,Groupe de base,53123,"Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques","Les ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques créent et réalisent des concepts de décors et de costumes pour des productions cinématographiques, télévisées, théâtrales et vidéo, des modèles de vêtements et de tissus, des expositions et d'autres objets de création tels que des bijoux et des trophées. Les ensembliers de théâtre travaillent dans les industries des arts de la scène et de la radiotélédiffusion ainsi que dans le cadre de festivals. Les dessinateurs de mode travaillent dans les entreprises de vêtements et de tissus, ou ils peuvent être des travailleurs/travailleuses autonomes. Les concepteurs d'expositions travaillent dans les musées. Les autres concepteurs artistiques de ce groupe de base travaillent dans des entreprises de fabrication, ou ils peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,53124,Artisans/artisanes,"Les artisans qui, grâce à leurs aptitudes créatives et à leur talent artistique, conçoivent et fabriquent des objets ornementaux, des articles en céramique, des vitraux, des bijoux, des tapis, des tissus, d'autres articles d'artisanat et des arrangements floraux. Ce groupe de base comprend aussi les confectionneurs d'instruments musicaux. La plupart des artisans sont des travailleurs autonomes. Les décorateurs floraux travaillent généralement au service de fleuristes et dans les services de fleuristerie de grands établissements, ou ils peuvent être des travailleurs autonomes. Les professeurs d'artisanat, aussi inclus dans ce groupe de base, travaillent pour des associations d'artisans, des collèges, des studios privés et des organisations récréatives."
5,Groupe de base,53125,Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure,"Les patronniers de produits textiles et d'articles en cuir et en fourrure dessinent les premiers patrons pour la confection de vêtements, de chaussures et d'autres articles en textile, en cuir et en fourrure. Ils travaillent pour des fabricants de patrons, d'articles en textile, en cuir ou en fourrure ou ils peuvent être des travailleurs autonomes."
3,Sous-grand groupe,532,Personnel des sports,"Ce sous-grand groupe comprend le personnel des sports, y compris les athlètes, entraîneurs/entraîneuses, officiels/officielles de sports et arbitres, et le personnel assimilé des sports et des loisirs."
4,Sous-groupe,5320,"Athlètes, entraîneurs/entraîneuses, arbitres et personnel assimilé des sports et des loisirs","Ce sous-groupe comprend le personnel des sports, y compris les athlètes, entraîneurs/entraîneuses, officiels/officielles de sports et arbitres, et le personnel assimilé des sports et des loisirs. Ils/elles travaillent pour des commissions, des organisations et des ligues sportives nationales, provinciales et locales; des équipes sportives professionnelles ou amateures; des universités; des centres communautaires, des club sportifs, des clubs de conditionnement physique, des centres de plein air, des centres de villégiature, des centres de loisirs, des établissements de soins de santé, des maisons de retraite et des établissements correctionnels; des ministères gouvernementaux, des entreprises privées et des associations touristiques; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,53200,Athlètes,"Les athlètes participent à des compétitions sportives amateures ou professionnelles. Ils pratiquent des sports d'équipe, tels que le hockey, le baseball, le football ou la crosse, des sports individuels, tels que le ski, le patinage artistique, la boxe ou l'athlétisme, ou participent à des jeux tels que le poker et les échecs. Ils travaillent pour des organisations d'équipes professionnelles ou ils peuvent être des travailleurs autonomes."
5,Groupe de base,53201,Entraîneurs/entraîneuses,"Les entraîneurs préparent et entraînent des athlètes ou des équipes pour des compétitions. Ils travaillent pour des organisations sportives nationales ou provinciales, des équipes sportives professionnelles ou amateures, des clubs athlétiques ou des universités, ou ils peuvent être des travailleurs autonomes. Ce groupe de base comprend aussi les dépisteurs sportifs qui identifient et recrutent des athlètes pour des équipes sportives professionnelles. Ils travaillent pour des organisations sportives professionnelles."
5,Groupe de base,53202,Arbitres et officiels/officielles de sports,"Les arbitres et les officiels de sports respectent et mettent en application les règles et les règlements qui régissent les événements sportifs, les jeux athlétiques et les compétitions sportives. Ils travaillent pour des commissions, des organisations et des ligues sportives nationales, provinciales et locales."
2,Grand groupe,54,Personnel de soutien des sports,"Ce grand groupe comprend le personnel de soutien des sports. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 4. Les professions du FEER 4, comme celles incluses dans ce grand groupe avec 4 comme deuxième chiffre dans leur code, exigent généralement l'achèvement des études secondaires; ou plusieurs semaines de formation en cours d'emploi avec des études secondaires partielles; ou de l'expérience liée aux professions du FEER 5, le cas échéant (FEER 5 inclut des professions avec 5 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,541,Personnel de soutien des sports,"Ce sous-grand groupe comprend le personnel de soutien des sports, y compris les animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique."
4,Sous-groupe,5410,"Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique","Ce sous-groupe comprend les animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique. Ils/elles travaillent pour des centres communautaires, des clubs sportifs, des clubs de conditionnement physique, des centres de plein air, des centres de villégiature, des centres de loisirs, des établissements de soins de santé, des maisons de retraite, des établissements correctionnels, des ministères gouvernementaux, des entreprises privées, des associations touristiques et d'autres établissements semblables."
5,Groupe de base,54100,"Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique","Les animateurs et les responsables de programmes de sports, de loisirs et de conditionnement physique dirigent et forment des personnes et des groupes dans le cadre de programmes de sports, de loisirs, de conditionnement physique et d'athlétisme. Les évaluateurs de la condition physique effectuent des tests et des évaluations de la condition physique et conçoivent, développent et fournissent des programmes en la matière. Ils travaillent dans des centres communautaires, des clubs sportifs, des clubs de conditionnement physique, des centres de plein air, des centres de villégiature, des centres de loisirs, des établissements de soins de santé, des maisons de retraite, des établissements correctionnels, des ministères gouvernementaux, des entreprises privées, des associations touristiques et d'autres établissements semblables."
2,Grand groupe,55,Personnel de soutien des arts et de la culture,"Ce grand groupe comprend le personnel de soutien des arts et de la culture. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle."
3,Sous-grand groupe,551,Personnel de soutien des arts et de la culture,Ce sous-grand groupe comprend le personnel de soutien des arts et de la culture et d'autres artistes de spectacle non classifiés ailleurs.
4,Sous-groupe,5510,Personnel de soutien des arts et de la culture,"Ce sous-groupe comprend le personnel de soutien des arts et de la culture et d'autres artistes de spectacle non classifiés ailleurs. Ils/elles travaillent dans des établissements artistiques et culturels; des entreprises de publicité, de communication et de production; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,55109,Autres artistes de spectacle,"Les autres artistes de spectacle comprennent les influenceurs, les magiciens, les mannequins, les marionnettistes et les autres artistes. Ils travaillent dans des boîtes de nuit, des compagnies théâtrales et de publicité et d'autres compagnies de production, ou ils peuvent être des travailleurs autonomes."
1,Grande catégorie,6,Vente et services,"Cette grande catégorie comprend les cadres intermédiaires dans les commerces de gros et de détail, et les services à la clientèle, ainsi que les professions dans les domaines de la vente en gros et au détail, et englobe également les professions des services à la clientèle, des services personnels et des services de soutien liés à un large éventail d'industries, tels que les services d'hébergement et de restauration, les voyages, les services de tourisme et de nettoyage."
2,Grand groupe,60,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle","Ce grand groupe comprend les cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion."
3,Sous-grand groupe,600,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle","Ce sous-grand groupe comprend les cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle, y compris les directeurs/directrices des ventes corporatives; les directeurs/directrices du commerce de détail et de gros; les directeurs/directrices de la restauration et des services d'hébergement; et les directeurs/directrices du service à la clientèle et des services personnels."
4,Sous-groupe,6001,Directeurs/directrices des ventes corporatives,Ce sous-groupe comprend les directeurs/directrices des ventes corporatives. Ils/elles travaillent pour des établissements de commerce de gros et de détail commerciaux et industriels.
5,Groupe de base,60010,Directeurs/directrices des ventes corporatives,"Les directeurs des ventes corporatives planifient, organisent, dirigent, contrôlent et évaluent les activités d'établissements et de services voués aux ventes commerciales, industrielles, institutionnelles, électroniques et aux ventes en gros et au détail. Ils travaillent dans des établissements de ventes commerciales, industrielles et de ventes en gros et au détail."
4,Sous-groupe,6002,Directeurs/directrices - commerce de détail et de gros,Ce sous-groupe comprend les directeurs/directrices du commerce de détail et de gros. Ils/elles travaillent pour des établissements de ventes en gros et au détail ou peuvent exploiter leur propre magasin (travailleurs/travailleuses autonomes).
5,Groupe de base,60020,Directeurs/directrices - commerce de détail et de gros,"Les directeurs du commerce de détail et de gros, planifient, organisent, dirigent, contrôlent et évaluent les activités des établissements qui vendent des produits ou des services au détail et en gros. Ils travaillent dans des commerces de détail ou de gros, ou ils peuvent être gérants et propriétaires de leur propre magasin."
4,Sous-groupe,6003,Directeurs/directrices de la restauration et des services d'hébergement,"Ce sous-groupe comprend les directeurs/directrices de la restauration et des autres services alimentaires et les directeurs des services d'hébergement. Ils/elles travaillent dans des établissements de services d'aliments et de boissons; et dans des hôtels, des motels, des lieux de villégiature, des résidences pour étudiants et autres établissements semblables; ou ils/elles peuvent être travailleurs/travailleuses autonomes."
5,Groupe de base,60030,Directeurs/directrices de la restauration et des services alimentaires,"Les directeurs de la restauration et des services alimentaires planifient, organisent, dirigent, contrôlent et évaluent les activités de restaurants, de bars, de cafétérias ou d'autres établissements du domaine de la restauration. Ils travaillent dans des établissements de services d'aliments et de boissons, ou ils peuvent être des travailleurs autonomes."
5,Groupe de base,60031,Directeurs/directrices des services d'hébergement,"Les directeurs de services d'hébergement planifient, organisent, dirigent, contrôlent et évaluent les activités d'un service d'hébergement ou d'un service à l'intérieur d'un tel établissement. Ils travaillent dans des hôtels, des motels, des lieux de villégiature, des résidences pour étudiants et autres établissements semblables ou ils peuvent être des travailleurs autonomes."
4,Sous-groupe,6004,Directeurs/directrices du service à la clientèle et des services personnels,"Ce sous-groupe comprend les directeurs/directrices du service à la clientèle et des services personnels, non classés ailleurs. Ils/elles travaillent pour des salons de coiffure, des nettoyeurs à sec, des services de nettoyage à domicile et d'autres établissements qui fournissent du service à la clientèle et des services personnels non classés ailleurs; et pour des écoles qui offrent une formation non professionnelle, telles que des écoles de conduite, de langues, de musique, de danse, d'art, de cuisine ou de mode."
5,Groupe de base,60040,Directeurs/directrices du service à la clientèle et des services personnels,"Les directeurs du service à la clientèle et des services personnels offrent des services, tels que le nettoyage à sec, la coiffure ou le nettoyage à domicile. Ce groupe comprend aussi les directeurs d'écoles qui offrent une formation non professionnelle, telles que des écoles de conduite, de langues, de musique, de danse, d'art, de cuisine ou de mode."
2,Grand groupe,62,Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés,"Ce grand groupe comprend le personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,620,Personnel de supervision des ventes au détail et des services,Ce sous-grand groupe comprend le personnel de supervision des ventes au détail et des services.
4,Sous-groupe,6201,Superviseurs/superviseures des ventes - commerce de détail,"Ce sous-groupe comprend les superviseurs des ventes de commerce de détail. Ils/elles travaillent dans des magasins et autres commerces de détail, des commerces de gros qui font de la vente de détail au public, des agences de location et des entreprises qui font de la vente de porte-à-porte ou par téléphone."
5,Groupe de base,62010,Superviseurs/superviseures des ventes - commerce de détail,"Les superviseurs des ventes de commerce de détail supervisent et coordonnent les activités des travailleurs inclus dans les groupes de base suivants: (64100) Vendeurs/vendeuses et décorateurs-étalagistes/décoratrices-étalagistes en commerce de détail, (65100) Caissiers/caissières, (65102) Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins et (65109) Autre personnel assimilé des ventes. Ils travaillent dans des magasins et autres commerces de détail, des commerces de gros qui font de la vente de détail au public, des agences de location et des entreprises qui font de la vente de porte à porte ou par téléphone."
4,Sous-groupe,6202,Superviseurs/superviseures de services,"Ce sous-groupe comprend les superviseurs/superviseures de services, y compris les superviseurs/superviseures des services alimentaires; les gouvernants principaux/gouvernantes principales; les superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes; les superviseurs/superviseures des services d'information et des services à la clientèle; et les surveillants/surveillantes des services de nettoyage; et les surveillants/surveillantes des autres services. Ils/elles travaillent dans des centres hospitaliers et d'autres établissements de soins de santé; des cafétérias, des services de traiteurs et d'autres établissements de services alimentaires; des banques, des sociétés de fiducie, des caisses populaires et d'autres établissements financiers; des points de vente au détail, des centres d'appels et des sociétés d'assurance, de téléphone et de services publics; des écoles et d'autres établissements d'enseignement; des hôtels, motels, établissements commerciaux et industriels et des entreprises de nettoyage résidentiel, commercial et spécialisé; d'autres établissements de service dans l'ensemble des secteurs public et privé."
5,Groupe de base,62020,Superviseurs/superviseures des services alimentaires,"Les superviseurs des services alimentaires supervisent, dirigent et coordonnent les activités des travailleurs qui préparent, répartissent et servent des aliments. Ils travaillent dans des centres hospitaliers et d'autres établissements de soins de santé et dans des cafétérias, des services de traiteurs et d'autres établissements de services alimentaires."
5,Groupe de base,62021,Gouvernants principaux/gouvernantes principales,"Les gouvernants principaux dirigent et contrôlent les opérations des services d'entretien ménager des hôtels, des centres hospitaliers et d'autres établissements semblables."
5,Groupe de base,62022,"Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes","Les superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes supervisent et coordonnent les activités des réceptionnistes d'hôtel, des employés de casinos, des commis aux réservations, et autres travailleurs du secteur des services d'hébergement, de voyages, de tourisme et des services connexes non classés ailleurs. Ils travaillent dans des établissements de services des secteurs public et privé."
5,Groupe de base,62023,Superviseurs/superviseures des services d'information et des services à la clientèle,"Les superviseurs des services d'information et des services à la clientèle surveillent et coordonnent les activités des travailleurs des groupes suivants: (64400) Représentants/représentantes au service à la clientèle - services financiers et (64409) Autres préposés/autres préposées des services d'information et des services à la clientèle. Ils travaillent dans des banques, des sociétés de fiducie, des caisses populaires et d'autres établissements financiers semblables, des établissements de vente au détail, des centres de contact, des compagnies d'assurance, de téléphone et des entreprises de services d'utilité publique, et dans d'autres établissements des secteurs privé et public."
5,Groupe de base,62024,Surveillants/surveillantes des services de nettoyage,"Les surveillants des services de nettoyage supervisent et coordonnent les activités des travailleurs inclus dans les groupes de base suivants : (65310) Préposés/préposées à l'entretien ménager et au nettoyage des travaux légers, (65311) Nettoyeurs spécialisés/nettoyeuses spécialisées, et (73201) Concierges et surintendants/surintendantes d'immeubles. Ils travaillent dans des centres hospitaliers et d'autres établissements de soins de santé, des hôtels, des motels, des écoles et d'autres établissements d'enseignement, des établissements commerciaux et industriels, des immeubles de bureaux ou des résidences, et dans diverses entreprises spécialisées de services de nettoyage."
5,Groupe de base,62029,Surveillants/surveillantes des autres services,"Les surveillants des autres services supervisent et coordonnent les activités des employés d'entreprises de nettoyage à sec, de lessivage, de repassage, d'assemblage et d'emballage, des placeurs et des préposés dans les cinémas, des stations thermales, des employés de clubs sportifs ou récréatifs, des commissionnaires, des gardiens de sécurité et d'autres travailleurs du secteur des services. Ils travaillent dans des établissements de services des secteurs public et privé."
3,Sous-grand groupe,621,Personnel des ventes spécialisées,"Ce sous-grand groupe comprend le personnel des ventes spécialisées, y compris le personnel technique spécialisé du commerce de gros, et les acheteurs/acheteuses du commerce de détail et de gros."
4,Sous-groupe,6210,Personnel technique spécialisé du commerce de gros et acheteurs/acheteuses du commerce de détail et de gros,"Ce sous-groupe comprend le personnel des ventes spécialisées, y compris le personnel technique spécialisé du commerce de gros et les acheteurs/acheteuses du commerce de détail et de gros. Ils/elles travaillent pour des établissements qui produisent et qui fournissent des biens et services techniques et des établissements de commerce de détail et de gros; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,62100,Spécialistes des ventes techniques - commerce de gros,"Les spécialistes des ventes techniques de commerce de gros vendent des biens et des services techniques tels que du matériel scientifique, agricole et industriel, et des services de télécommunications, d'électricité et d'informatique à des entreprises gouvernementales, industrielles ou commerciales, sur le marché national et international. Ils travaillent pour des établissements qui produisent ou fournissent des biens ou services techniques, notamment des sociétés pharmaceutiques, des entreprises de fabrication d'équipement industriel, des élévateurs à grains, des compagnies de services informatiques, des sociétés d'ingénierie et des compagnies d'hydroélectricité. Ils peuvent aussi être des travailleurs/travailleuses autonomes et offrir leurs services en sous-traitance à d'autres entreprises. Les spécialistes des ventes techniques de commerce de gros qui occupent des postes de supervision sont compris dans ce groupe de base."
5,Groupe de base,62101,Acheteurs/acheteuses des commerces de détail et de gros,Les acheteurs des commerces de détail et de gros achètent des marchandises pour la revente dans un commerce de gros ou de détail et sont généralement responsables des techniques marchandes des établissements de commerce de détail ou de gros. Les acheteurs des commerces de détail et de gros qui occupent des postes de supervision et les acheteurs adjoints sont inclus dans ce groupe de base.
